iter	Passed	Remaining
766	3240	984
767	3244	979
768	3247	975
769	3250	971
770	3254	966
771	3257	962
772	3261	957
773	3264	953
774	3267	948
775	3271	944
776	3274	939
777	3277	935
778	3281	930
779	3284	926
780	3287	921
781	3291	917
782	3294	913
783	3297	908
784	3301	904
785	3305	899
786	3308	895
787	3312	891
788	3315	886
789	3319	882
790	3322	877
791	3325	873
792	3329	869
793	3332	864
794	3336	860
795	3340	856
796	3343	851
797	3346	847
798	3349	842
799	3352	838
800	3356	833
801	3359	829
802	3362	824
803	3365	820
804	3369	816
805	3372	811
806	3375	807
807	3379	802
808	3382	798
809	3386	794
810	3389	789
811	3393	785
812	3397	781
813	3401	777
814	3404	772
815	3408	768
816	3412	764
817	3416	760
818	3420	755
819	3423	751
820	3428	747
821	3433	743
822	3436	739
823	3440	734
824	3444	730
825	3448	726
826	3452	722
827	3456	717
828	3462	714
829	3466	709
830	3470	705
831	3475	701
832	3478	697
833	3482	693
834	3486	688
835	3490	684
836	3494	680
837	3498	676
838	3501	671
839	3504	667
840	3508	663
841	3512	659
842	3515	654
843	3519	650
844	3522	646
845	3526	641
846	3529	637
847	3533	633
848	3536	629
849	3540	624
850	3543	620
851	3547	616
852	3550	611
853	3553	607
854	3556	603
855	3560	598
856	3563	594
857	3566	590
858	3569	585
859	3572	581
860	3576	577
861	3581	573
862	3586	569
863	3589	565
864	3594	561
865	3598	556
866	3601	552
867	3605	548
868	3608	544
869	3611	539
870	3615	535
871	3618	531
872	3621	526
873	3624	522
874	3627	518
875	3631	513
876	3634	509
877	3637	505
878	3660	503
879	3667	500
880	3677	496
881	3684	492
882	3690	489
883	3693	484
884	3697	480
885	3701	476
886	3704	471
887	3707	467
888	3710	463
889	3714	459
890	3717	454
891	3721	450
892	3724	446
893	3728	442
894	3731	437
895	3735	433
896	3738	429
897	3743	425
898	3746	420
899	3749	416
900	3753	412
901	3757	408
902	3761	404
903	3764	399
904	3767	395
905	3771	391
906	3775	387
907	3779	382
908	3782	378
909	3785	374
910	3789	370
911	3792	365
912	3795	361
913	3799	357
914	3802	353
915	3806	349
916	3809	344
917	3812	340
918	3815	336
919	3818	332
920	3821	327
921	3825	323
922	3828	319
923	3831	315
924	3835	311
925	3838	306
926	3842	302
927	3845	298
928	3848	294
929	3852	289
930	3855	285
931	3858	281
932	3862	277
933	3865	273
934	3869	268
935	3872	264
936	3876	260
937	3880	256
938	3884	252
939	3887	248
940	3891	243
941	3895	239
942	3899	235
943	3903	231
944	3906	227
945	3910	223
946	3914	219
947	3917	214
948	3920	210
949	3925	206
950	3928	202
951	3931	198
952	3935	194
953	3939	189
954	3943	185
955	3947	181
956	3950	177
957	3954	173
958	3958	169
959	3962	165
960	3972	161
961	3975	157
962	3979	152
963	3983	148
964	3987	144
965	3991	140
966	3995	136
967	3999	132
